20,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2011,Frankie and the Heartstrings,single,NME/BBC Radio 1 Stage,16,6,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Pulled Apart By Horses,single,NME/BBC Radio 1 Stage,17,7,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Unkle Sounds,shared,Dance Stage,18,1,3,T,T,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Simian Mobile Disco,shared,Dance Stage,18,1,3,T,T,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Sub Focus,shared,Dance Stage,19,2,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Devlin,shared,Dance Stage,19,2,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Crystal Fighters,shared,Dance Stage,19,2,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Mount Kimbie,shared,Dance Stage,19,2,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,"Does It Offend You, Yeah?",shared,Dance Stage,20,3,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,D/R/U/G/S,shared,Dance Stage,20,3,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,The Horrors,single,Festival Republic Stage,21,1,4,T,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Digitalism,single,Festival Republic Stage,22,2,4,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Tom Vek,shared,Festival Republic Stage,23,3,4,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,White Denim,shared,Festival Republic Stage,23,3,4,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Pulp,single,main,1,1,1,T,T,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,The Strokes,single,main,2,2,1,F,T,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,The National,single,main,3,3,1,F,T,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Jimmy Eat World,single,main,4,4,1,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Madness,single,main,5,5,1,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Two Door Cinema Club,single,main,6,6,1,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Seasick Steve,single,main,7,7,1,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,The Pigeon Detectives,single,main,8,8,1,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,The Joy Formidable,single,main,9,9,1,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Jane's Addiction,single,NME/BBC Radio 1 Stage,10,1,2,T,T,black,saturday/27,sunday/28,yellow,split,F,T,5,167
,2011,Crystal Castles,single,NME/BBC Radio 1 Stage,11,2,2,F,F,black,saturday/27,sunday/28,yellow,split,F,T,5,167
