attribute-level,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2004,Green Day,single,main,1,1,1,T,T,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,50 Cent,single,main,2,2,1,F,T,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,Lostprophets,single,main,3,3,1,F,T,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,The Streets,single,main,4,4,1,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,Dropkick Murphys,single,main,5,5,1,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,The Rasmus,single,main,6,6,1,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,New Found Glory,single,main,7,7,1,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,Thrice,single,main,8,8,1,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,Minus,single,main,9,9,1,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,Supergrass,single,BBC Radio 1 Stage,10,1,2,T,T,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,The Von Bondies,single,BBC Radio 1 Stage,11,2,2,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,Auf Der Maur,single,BBC Radio 1 Stage,12,3,2,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,British Sea Power,single,BBC Radio 1 Stage,13,4,2,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,dEUS,shared,BBC Radio 1 Stage,14,5,2,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,22-20s,shared,BBC Radio 1 Stage,14,5,2,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,The Stills,single,BBC Radio 1 Stage,15,6,2,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,Dogs Die In Hot Cars,single,BBC Radio 1 Stage,16,7,2,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,Fiery Furnacles,single,BBC Radio 1 Stage,17,8,2,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,The Futureheads,single,BBC Radio 1 Stage,18,9,2,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,Eastern Lane,single,BBC Radio 1 Stage,19,10,2,F,F,black,sunday/29,friday/27,yellow,shared,F,T,4,139
,2004,A,shared,The Concrete Jungle Stage,20,1,3,T,T,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,Sick of it All,shared,The Concrete Jungle Stage,20,1,3,T,T,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,Goldfinger,shared,The Concrete Jungle Stage,21,2,3,F,F,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,Dillinger Escape Plan,shared,The Concrete Jungle Stage,21,2,3,F,F,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,Bouncing Souls,shared,The Concrete Jungle Stage,21,2,3,F,F,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,The Starting Line,shared,The Concrete Jungle Stage,21,2,3,F,F,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,Coheed and Cambria,shared,The Concrete Jungle Stage,22,3,3,F,F,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,Avenged Sevenfold,shared,The Concrete Jungle Stage,22,3,3,F,F,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,Flogging Molly,shared,The Concrete Jungle Stage,22,3,3,F,F,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,Allister,shared,The Concrete Jungle Stage,22,3,3,F,F,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,Alexisonfire,shared,The Concrete Jungle Stage,22,3,3,F,F,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,The Holiday Plan,shared,The Concrete Jungle Stage,22,3,3,F,F,black,saturday 28,sunday/28,yellow,shared,F,T,4,139
,2004,The Darkness,single,main,1,1,1,T,T,black,friday/27,saturday/28,yellow,shared,F,T,4,139
,2004,The Offspring,single,main,2,2,1,F,T,black,friday/27,saturday/28,yellow,shared,F,T,4,139
,2004,Ash,single,main,3,3,1,F,T,black,friday/27,saturday/28,yellow,shared,F,T,4,139
