attribute-level,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2010,Guns N' Roses,single,main,1,1,1,T,T,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Queens of the Stone Age,single,main,2,2,1,F,T,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Biffy Clyro,single,main,3,3,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Lostprophets,single,main,4,4,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,NOFX,shared,main,5,5,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Gogol Bordello,shared,main,5,5,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Billy Talent,single,main,6,6,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,A Day To Remember,single,main,7,7,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Young Guns,single,main,8,8,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,LCD Soundsystem,shared,NME/BBC Radio 1 Stage,9,1,2,T,T,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Phoenix,shared,NME/BBC Radio 1 Stage,10,2,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Mumford & Sons,shared,NME/BBC Radio 1 Stage,10,2,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Delphic,shared,NME/BBC Radio 1 Stage,11,3,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Yeasayer,shared,NME/BBC Radio 1 Stage,11,3,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,The Big Pink,single,NME/BBC Radio 1 Stage,12,4,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Two Door Cinema Club,shared,NME/BBC Radio 1 Stage,13,5,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Girls,shared,NME/BBC Radio 1 Stage,13,5,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,New Young Pony Club,shared,NME/BBC Radio 1 Stage,14,6,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Surfer Blood,shared,NME/BBC Radio 1 Stage,14,6,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Frankie and the Heartstrings,single,NME/BBC Radio 1 Stage,15,7,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Alkaline Trio,single,Lock-Up Stage,16,1,3,T,T,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Sick of it All,shared,Lock-Up Stage,17,2,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Against Me!,shared,Lock-Up Stage,17,2,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Hatebreed,shared,Lock-Up Stage,18,3,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Streelight Manifesto,shared,Lock-Up Stage,18,3,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,Strike Anywhere,shared,Lock-Up Stage,19,4,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
,2010,This is Hell,shared,Lock-Up Stage,19,4,3,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,172
