attribute-level,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2009,Kings of Leon,single,main,1,1,1,T,T,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Kaiser Chiefs,single,main,2,2,1,F,T,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Placebo,single,main,3,3,1,F,T,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Fall Out Boy,single,main,4,4,1,F,T,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Deftones,single,main,5,5,1,F,F,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Funeral for a Friend,single,main,6,6,1,F,F,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,New Found Glory,single,main,7,7,1,F,F,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Alexisonfire,single,main,8,8,1,F,F,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Madina Lake,shared,main,9,9,1,F,F,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Sonic Boom Six,shared,main,9,9,1,F,F,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Faith No More,single,NME/BBC Radio 1 Stage,10,1,2,T,T,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Jamie T,shared,NME/BBC Radio 1 Stage,11,2,2,F,F,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Friendly Fires,shared,NME/BBC Radio 1 Stage,11,2,2,F,F,black,friday/28,saturday/29,yellow,split,F,T,5,171
,2009,Florence and the Machine,shared,NME/BBC Radio 1 Stage,12,3,2,F,F,black,friday/28,saturday/29,yellow,split,F,T,5,171
