attribute-level,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2019,The 1975,single,main,1,1,1,T,T,yellow,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Royal Blood,single,main,2,2,1,F,T,yellow,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,The Wombats,single,main,3,3,1,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,You Me At Six,single,main,4,4,1,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Juice WRLD,single,main,5,5,1,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Charli XCX,single,main,6,6,1,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Twin Atlantic,single,main,7,7,1,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Dave,single,BBC Radio 1 Stage,8,1,2,T,T,yellow,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Fredo,single,BBC Radio 1 Stage,9,2,2,F,T,yellow,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Circa Waves,single,BBC Radio 1 Stage,10,3,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Pale Waves,shared,BBC Radio 1 Stage,11,4,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Joji,shared,BBC Radio 1 Stage,11,4,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Hayley Kiyoko,shared,BBC Radio 1 Stage,12,5,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Clairo,shared,BBC Radio 1 Stage,12,5,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,The Night Café,single,BBC Radio 1 Stage,13,6,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Mini Mansions,shared,BBC Radio 1 Stage,14,7,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Sea Girls,shared,BBC Radio 1 Stage,14,7,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Bloxx,single,BBC Radio 1 Stage,15,8,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Camelphat,single,BBC Radio 1 Dance Stage,16,1,3,T,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Fisher,single,BBC Radio 1 Dance Stage,17,2,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Dillon Francis,single,BBC Radio 1 Dance Stage,18,3,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Prospa,shared,BBC Radio 1 Dance Stage,19,4,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Distruction Boyz,shared,BBC Radio 1 Dance Stage,19,4,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Becky Hill,shared,BBC Radio 1 Dance Stage,20,5,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Loud Luxury,shared,BBC Radio 1 Dance Stage,20,5,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Brunswick,single,BBC Radio 1 Dance Stage,21,6,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Bowling For Soup,single,The Lockup,22,1,4,T,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,The Maine,shared,The Lockup,23,2,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,PUP,shared,The Lockup,23,2,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Puppy ,shared,The Lockup,24,3,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Dream State,shared,The Lockup,24,3,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Press Club,shared,The Lockup,25,4,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Patent Pending,shared,The Lockup,25,4,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Cemetary Sun,single,The Lockup,26,5,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Hobo Johnson And The Lovemakers,single,Festival Republic Stage,27,1,5,T,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,The Chats,shared,Festival Republic Stage,28,2,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Ten Tonnes,shared,Festival Republic Stage,28,2,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Hockey Dad,shared,Festival Republic Stage,29,3,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Black Honey,shared,Festival Republic Stage,29,3,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Twisted Wheel,shared,Festival Republic Stage,30,4,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Jeremy Zucker,shared,Festival Republic Stage,30,4,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Bad Child,shared,Festival Republic Stage,31,5,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Dreamers,shared,Festival Republic Stage,31,5,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,No Rome,shared,Festival Republic Stage,32,6,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Ocean Alley,shared,Festival Republic Stage,32,6,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Zuzu,shared,Festival Republic Stage,32,6,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Dappy,single,BBC Radio 1Xtra Stage,33,1,6,T,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Headie One,shared,BBC Radio 1Xtra Stage,34,2,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Deno Drix,shared,BBC Radio 1Xtra Stage,34,2,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Masicka,shared,BBC Radio 1Xtra Stage,35,3,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Comethazine,shared,BBC Radio 1Xtra Stage,35,3,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Tiffany Calver,single,BBC Radio 1Xtra Stage,36,4,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Just Blanco,shared,BBC Radio 1Xtra Stage,37,5,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Mtrnica,shared,BBC Radio 1Xtra Stage,37,5,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
