attribute-level,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2017,Kasabian,single,main,1,1,1,T,T,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Bastille,single,main,2,2,1,F,T,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Two Door Cinema Club,single,main,3,3,1,F,T,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Jimmy Eat World,single,main,4,4,1,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Circa Waves,single,main,5,5,1,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Rat Boy,single,main,6,6,1,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Mallory Knox,single,main,6,6,1,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Deap Vally,shared,main,7,7,1,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Judas,shared,main,7,7,1,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,You Me At Six,single,NME/BBC Radio 1 Stage,8,1,2,T,T,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Tory Lanez,single,NME/BBC Radio 1 Stage,9,2,2,F,T,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Sub Focus,shared,NME/BBC Radio 1 Stage,10,3,2,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Lethal Bizzle,shared,NME/BBC Radio 1 Stage,10,3,2,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Anne-Marie,shared,NME/BBC Radio 1 Stage,11,4,2,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Oh Wonder,shared,NME/BBC Radio 1 Stage,11,4,2,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Declan McKenna,single,NME/BBC Radio 1 Stage,12,5,2,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,The Orwells,shared,NME/BBC Radio 1 Stage,13,6,2,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,The Magic Gang,shared,NME/BBC Radio 1 Stage,13,6,2,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Marika Hackman,single,NME/BBC Radio 1 Stage,14,7,2,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Lea Porcelain,single,NME/BBC Radio 1 Stage,15,8,2,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Fat Boy Slim,single,BBC Radio 1 Dance Stage,16,1,3,T,T,black,friday/25,saturday/26,yellow,shared,T,F,7,248
,2017,Dillon Francis,shared,BBC Radio 1 Dance Stage,17,2,3,F,F,black,friday/25,saturday/26,yellow,shared,T,F,7,248
