attribute-level,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2015,Mumford & Sons,single,main,1,1,1,T,T,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,alt-J,single,main,2,2,1,F,T,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Bastille,single,main,3,3,1,F,T,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,All Time Low,single,main,4,4,1,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Panic! At The Disco,single,main,5,5,1,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Palma Violets,single,main,6,6,1,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Drenge,single,main,7,7,1,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Neck Deep,single,main,8,8,1,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Mariachi El Bronx,single,main,9,9,1,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Knife Party,single,NME/BBC Radio 1 Stage,10,1,2,T,T,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Limp Bizkit,single,NME/BBC Radio 1 Stage,11,2,2,F,T,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Run The Jewels,single,NME/BBC Radio 1 Stage,12,3,2,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Peace,single,NME/BBC Radio 1 Stage,13,4,2,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Swim Deep,single,NME/BBC Radio 1 Stage,14,5,2,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Don Broco,single,NME/BBC Radio 1 Stage,15,6,2,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,American Football,single,NME/BBC Radio 1 Stage,16,7,2,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Parquet Courts,single,NME/BBC Radio 1 Stage,17,8,2,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Echosmith,single,NME/BBC Radio 1 Stage,18,9,2,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,The Districts,shared,NME/BBC Radio 1 Stage,19,10,2,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,The Struts,shared,NME/BBC Radio 1 Stage,19,10,2,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Wilkinson,single,BBC Radio 1 Dance Stage,20,1,3,T,T,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Camo & Krooked,single,BBC Radio 1 Dance Stage,21,2,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Hannah Wants,single,BBC Radio 1 Dance Stage,22,3,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Dillon Francis,shared,BBC Radio 1 Dance Stage,23,4,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Porter Robinson,shared,BBC Radio 1 Dance Stage,23,4,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Jacob Plant,shared,BBC Radio 1 Dance Stage,24,5,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,My Nu Leng,shared,BBC Radio 1 Dance Stage,24,5,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Toyboy & Robin,shared,BBC Radio 1 Dance Stage,25,6,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Hayden James,shared,BBC Radio 1 Dance Stage,25,6,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Ferdinand Weber,shared,BBC Radio 1 Dance Stage,26,7,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,All We Are,shared,BBC Radio 1 Dance Stage,26,7,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,The Ramona Flowers,single,BBC Radio 1 Dance Stage,27,8,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Cardiknox,single,BBC Radio 1 Dance Stage,28,9,3,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,New Found Glory,single,Lock Up,29,1,4,T,T,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Django Django,single,Festival Republic Stage,31,1,5,T,T,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,A$AP Ferg,shared,BBC Radio 1Xtra Stage,33,1,6,T,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Flatbush Zombies,shared,BBC Radio 1Xtra Stage,33,1,6,T,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
,2015,Rae Sremmurd,single,BBC Radio 1Xtra Stage,34,2,6,F,F,black,friday/26,saturday/27,yellow,shared,T,F,6,205
