attribute-level,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2008,rage against the machine,single,main,1,1,1,T,T,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Queens of the Stone Age,single,main,2,2,1,F,T,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,The Fratellis,single,main,3,3,1,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,The Enemy,single,main,4,4,1,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Biffy Clyro,single,main,5,5,1,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Serj Tankian,single,main,6,6,1,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Dizzee Rascal,single,main,7,7,1,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Taking Back Sunday,single,main,8,8,1,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Get Cape. Wear Cape. Fly,single,main,9,9,1,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Anti-Flag,single,main,10,10,1,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Babyshambles,single,NME/BBC Radio 1 Stage,11,1,2,T,T,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,The Wombats,single,NME/BBC Radio 1 Stage,12,2,2,F,T,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Vampire Weekend,single,NME/BBC Radio 1 Stage,13,3,2,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,MGMT,shared,NME/BBC Radio 1 Stage,14,4,2,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Jack Peñate,shared,NME/BBC Radio 1 Stage,14,4,2,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,One Night Only,shared,NME/BBC Radio 1 Stage,15,5,2,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,The Duke Spirit,shared,NME/BBC Radio 1 Stage,15,5,2,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Be Your Own Pet,shared,NME/BBC Radio 1 Stage,16,6,2,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Blood Red Shoes,shared,NME/BBC Radio 1 Stage,16,6,2,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Pete and the Pirates,shared,NME/BBC Radio 1 Stage,17,7,2,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
,2008,Future of the Left,shared,NME/BBC Radio 1 Stage,17,7,2,F,F,black,friday/22,saturday/23,yellow,shared,F,T,5,170
